"from","to","posterior.mean.of.indicators","posterior.mean.of.Habitat.rates","posterior.mean.of.real.rates","bf"
"FW","HH","0.24189009","0.8834517","0.024559324","    1.3622670"
"FW","MM","1.00000000","0.7214916","0.721491576","          Inf"
"FW","PO","1.00000000","3.3873158","3.387315768","          Inf"
"FW","SB","1.00000000","1.6290267","1.629026686","          Inf"
"FW","TFO","1.00000000","2.2313452","2.231345159","          Inf"
"HH","MM","0.07258184","1.1050438","0.009058686","    0.3341402"
"HH","PO","0.07013776","1.1741311","0.008786481","    0.3220398"
"HH","SB","0.07435935","1.0784138","0.009073595","    0.3429806"
"HH","TFO","0.07117464","1.1484005","0.008571574","    0.3271655"
"MM","PO","0.12464820","1.0715356","0.020951944","    0.6079666"
"MM","SB","0.12405570","1.0346750","0.018172016","    0.6046674"
"MM","TFO","0.29588209","0.8451745","0.060445961","    1.7941122"
"PO","SB","0.26336839","0.8647248","0.108220215","    1.5264747"
"PO","TFO","0.99962968","1.3484100","1.348077369","11525.0697760"
"SB","TFO","1.00000000","1.4678597","1.467859685","          Inf"
"HH","FW","0.08717227","1.1068698","0.012162909","    0.4077236"
"MM","FW","0.11050215","1.0483963","0.016035611","    0.5303983"
"PO","FW","0.99844467","2.6300844","2.626233550"," 2740.8112852"
"SB","FW","0.84476374","0.5634101","0.410120502","   23.2337017"
"TFO","FW","0.44793364","0.7821949","0.221286474","    3.4641662"
"MM","HH","0.12235224","1.0717440","0.018374425","    0.5952070"
"PO","HH","0.16034662","1.0413023","0.030208618","    0.8153350"
"SB","HH","0.63664642","0.5202585","0.132979994","    7.4807507"
"TFO","HH","0.29432677","0.8368669","0.076766580","    1.7807479"
"PO","MM","0.14479336","0.9660455","0.036787826","    0.7228595"
"SB","MM","1.00000000","0.7052455","0.705245515","          Inf"
"TFO","MM","0.38564657","0.7034083","0.133373736","    2.6800785"
"SB","PO","0.99992594","0.8847642","0.884633165","57642.4268524"
"TFO","PO","0.25907273","0.9226080","0.099442685","    1.4928716"
"TFO","SB","0.37475929","0.7740779","0.147979213","    2.5590660"
